positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score
0,205,5,9,1,220,0.9363636363636364,0.1,0.16666666666666666,0.125
1,205,1,13,1,220,0.9363636363636364,0.07142857142857142,0.5,0.125
2,117,8,7,88,220,0.9318181818181818,0.9263157894736842,0.9166666666666666,0.9214659685863874
3,215,0,5,0,220,0.9772727272727273,0.0,0.0,0.0
4,96,28,8,88,220,0.8363636363636363,0.9166666666666666,0.7586206896551724,0.8301886792452831
